Hiders,Seekers,Cells,Obstacles,Max Rounds,Rounds Played,Game Length
2,2,25,0,42,21,Short
6,2,160,66,39,27,Medium
1,1,49,0,37,16,Short
6,2,160,66,41,30,Medium
2,2,25,0,13,7,Short
4,2,160,79,25,20,Long
1,1,49,0,50,24,Short
6,2,160,66,35,24,Medium
6,2,160,66,47,31,Medium
2,2,25,0,48,20,Short
1,1,49,0,18,10,Short
1,2,49,9,11,11,Long
2,2,49,8,45,22,Short
1,2,49,9,13,13,Long
1,1,49,0,10,10,Long
1,1,49,0,15,10,Medium
4,2,160,79,45,45,Long
2,2,25,0,47,20,Short
2,2,25,0,19,10,Short
1,2,49,9,44,44,Long
1,2,49,9,26,26,Long
2,2,49,8,30,14,Short
2,2,25,0,49,22,Short
4,2,160,79,15,12,Long
2,2,49,8,38,20,Short
2,2,49,8,47,21,Short
2,2,49,8,39,19,Short
4,2,160,79,39,39,Long
6,2,160,66,43,43,Long
6,2,160,66,24,21,Long
2,2,25,0,50,25,Short
1,2,49,9,36,36,Long
4,2,160,79,15,14,Long
2,2,49,8,41,21,Short
6,2,160,66,34,30,Long
2,2,49,8,22,13,Medium
4,2,160,79,48,35,Medium
6,2,160,66,41,27,Medium
2,2,49,8,36,18,Short
2,2,49,8,36,17,Short
2,2,25,0,10,7,Medium
4,2,160,79,38,30,Medium
2,2,49,8,33,17,Short
4,2,160,79,33,28,Long
2,2,49,8,13,8,Medium
2,2,49,8,12,8,Medium
1,2,49,9,12,12,Long
6,2,160,66,34,20,Medium
2,2,49,8,16,11,Medium
2,2,49,8,27,14,Short
1,1,49,0,11,5,Short
2,2,49,8,26,14,Short
1,1,49,0,26,13,Short
1,2,49,9,25,25,Long
4,2,160,79,22,15,Medium
4,2,160,79,50,32,Medium
2,2,49,8,20,13,Medium
2,2,49,8,40,22,Short
4,2,160,79,30,30,Long
1,2,49,9,36,36,Long
1,2,49,9,22,22,Long
1,2,49,9,11,11,Long
2,2,49,8,18,12,Medium
2,2,49,8,30,16,Short
1,1,49,0,10,9,Long
1,1,49,0,14,8,Medium
2,2,49,8,17,9,Short
2,2,25,0,36,19,Short
1,2,49,9,25,25,Long
2,2,25,0,50,24,Short
1,2,49,9,47,47,Long
4,2,160,79,17,12,Medium
4,2,160,79,25,24,Long
2,2,25,0,47,23,Short
1,1,49,0,46,21,Short
1,1,49,0,26,12,Short
4,2,160,79,46,31,Medium
6,2,160,66,38,24,Medium
6,2,160,66,28,17,Medium
2,2,25,0,26,13,Short
6,2,160,66,32,19,Medium
2,2,25,0,47,19,Short
1,1,49,0,35,21,Medium
4,2,160,79,33,33,Long
1,1,49,0,17,9,Short
6,2,160,66,16,11,Medium
1,2,49,9,27,27,Long
1,1,49,0,23,12,Short
4,2,160,79,15,15,Long
2,2,49,8,40,17,Short
6,2,160,66,35,35,Long
6,2,160,66,46,35,Medium
6,2,160,66,21,12,Short
1,2,49,9,22,22,Long
2,2,49,8,17,11,Medium
6,2,160,66,25,25,Long
6,2,160,66,11,6,Short
2,2,25,0,43,18,Short
1,1,49,0,34,16,Short
1,2,49,9,23,23,Long
1,2,49,9,41,41,Long
4,2,160,79,36,34,Long
1,1,49,0,33,16,Short
6,2,160,66,11,7,Medium
1,2,49,9,50,50,Long
4,2,160,79,42,27,Medium
2,2,49,8,27,13,Short
2,2,49,8,22,16,Medium
2,2,25,0,50,22,Short
4,2,160,79,36,26,Medium
1,1,49,0,29,14,Short
1,2,49,9,30,30,Long
4,2,160,79,41,39,Long
2,2,25,0,10,6,Medium
4,2,160,79,14,13,Long
1,1,49,0,44,20,Short
6,2,160,66,24,19,Long
4,2,160,79,34,34,Long
6,2,160,66,16,12,Medium
4,2,160,79,10,10,Long
1,1,49,0,16,8,Short
1,1,49,0,47,20,Short
4,2,160,79,33,33,Long
6,2,160,66,22,16,Medium
1,2,49,9,49,49,Long
1,2,49,9,43,43,Long
6,2,160,66,27,20,Medium
2,2,49,8,41,20,Short
1,1,49,0,44,20,Short
4,2,160,79,20,14,Medium
2,2,25,0,35,16,Short
4,2,160,79,15,15,Long
4,2,160,79,38,32,Long
4,2,160,79,31,21,Medium
1,2,49,9,49,49,Long
1,2,49,9,14,14,Long
