Hiders,Seekers,Cells,Obstacles,Lying Probability,Max Rounds,Rounds Played,Agents Lied
1,2,49,9,49.0,22,22,false
1,2,49,9,49.0,14,14,false
2,2,25,0,25.0,10,10,false
6,2,160,66,160.0,42,33,true
1,2,49,9,49.0,22,22,false
1,2,49,9,49.0,14,14,false
2,2,25,0,25.0,10,10,false
6,2,160,66,160.0,42,17,false
1,2,49,9,49.0,22,22,false
1,2,49,9,49.0,14,14,false
1,2,49,9,49.0,22,22,false
1,2,49,9,49.0,22,22,false
1,2,49,9,49.0,14,14,false
2,2,25,0,25.0,10,10,false
6,2,160,66,160.0,42,42,false
1,2,49,9,49.0,22,22,false
1,2,49,9,49.0,14,14,false
1,2,49,9,49.0,22,22,false
1,2,49,9,49.0,22,22,false
1,2,49,9,49.0,14,14,false
2,2,25,0,25.0,10,10,false
1,2,49,9,49.0,22,22,false
1,2,49,9,49.0,14,14,false
2,2,25,0,25.0,10,7,false
6,2,160,66,160.0,42,42,true
